$******************************************************$
TABLED1     1001
        0.000000     0.00.000500     0.00.003000     0.00.003500 16265.2
        0.004000 33568.50.004500 49815.40.005000 66224.20.005500 85720.0
        0.006000 98628.60.006500113755.20.007000120488.80.007500125594.3
        0.008000132626.00.008500130549.20.009000133272.80.009500124221.4
        0.010000116922.10.010500113196.30.011000101007.50.011500 90043.9
        0.012000 83924.00.012500 71636.00.013000 65646.00.013500 52518.7
        0.014000 44178.70.014500 38433.10.015000 30336.20.015500 26640.1
        0.016000 19558.40.016500 15821.60.017000 13196.90.017500  9789.3
        0.018000  8293.10.018500  5660.40.019000  4098.50.019500  3009.4
        0.020000  1700.50.020500   833.60.021000   282.60.021500     7.5
        0.094000     0.00.094500 10563.90.095000 29602.60.095500 53088.2
        0.096000 72403.50.096500 89664.90.097000102829.20.097500111588.1
        0.098000122152.80.098500124870.10.099000129244.80.099500123677.5
        0.100000117768.50.100500115381.70.101000104317.10.101500 93513.0
        0.102000 87733.10.102500 75261.50.103000 69047.40.103500 55454.8
        0.104000 46922.60.104500 40425.70.105000 32175.90.105500 27963.6
        0.106000 20512.90.106500 16667.10.107000 13614.10.107500 10177.0
        0.108000  8493.90.108500  5749.00.109000  4175.10.109500  3007.6
        0.110000  1700.20.110500   824.80.111000   274.90.111500     6.4
        0.632500     0.00.633000  7081.00.633500 26449.10.634000 49088.3
        0.634500 67172.80.635000 86987.30.635500100796.80.636000112741.0
        0.636500125634.80.637000130806.90.637500133301.40.638000138355.8
        0.638500134278.50.639000135086.10.639500124701.90.640000116110.8
        0.640500111413.70.641000 98721.00.641500 93688.10.642000 78178.6
        0.642500 68131.20.643000 61246.40.643500 50115.00.644000 45294.5
        0.644500 34425.70.645000 28598.30.645500 24335.40.646000 18739.7
        0.646500 14858.00.647000 12481.40.647500  9549.60.648000  7875.4
        0.648500  5526.50.649000  3966.80.649500  2880.40.650000  1632.1
        0.650500   851.70.651000   227.40.651500     1.80.726500     0.0
        0.727000  9614.80.727500 30850.80.728000 57143.80.728500 72952.2
        0.729000 89078.20.729500 95705.70.730000 99019.50.730500104964.6
        0.731000100884.60.731500101194.00.732000 89831.60.732500 82149.6
        0.733000 75573.00.733500 64515.20.734000 58477.60.734500 45851.1
        0.735000 38597.60.735500 32050.40.736000 24901.20.736500 19405.9
        0.737000 15514.40.737500 11690.90.738000  9042.00.738500  6177.3
        0.739000  4256.50.739500  2932.90.740000  1621.00.740500   815.8
        0.741000   210.20.741500     1.20.742000     0.00.742500     0.0
            ENDT
$******************************************************$
DAREA       1001       1       2     1.0
$******************************************************$
TLOAD1         1    1001                    1001
$******************************************************$
$******************************************************$
TABLED1     1002
        0.000000     0.00.000500     0.00.021500     0.00.022000133498.9
        0.022500127594.80.023000124967.10.023500134147.60.024000126146.7
        0.024500127293.60.025000120760.70.025500114407.50.026000111308.1
        0.026500106138.20.027000 98244.20.027500 95537.70.028000 91344.3
        0.028500 83321.50.029000 82946.50.029500 79615.50.030000 72820.1
        0.030500 72593.10.031000 64501.60.031500 66282.00.032000 63312.4
        0.032500 55744.20.033000 55488.70.033500 46020.10.034000 47363.1
        0.034500 43810.10.035000 35720.00.035500 35378.40.036000 27132.6
        0.036500 28205.30.037000 25377.70.037500 19966.30.038000 19328.8
        0.038500 16815.60.039000 13286.70.039500 11523.10.040000  8743.9
        0.040500  7023.70.041000  4905.20.041500  3078.20.042000  1609.9
        0.042500   573.50.043000    46.40.111500     0.00.112000132440.5
        0.112500126097.40.113000123134.70.113500132468.10.114000123625.1
        0.114500125277.20.115000118627.60.115500111867.80.116000109818.6
        0.116500104034.10.117000 96798.60.117500 94654.00.118000 90132.1
        0.118500 83159.70.119000 82749.30.119500 79653.40.120000 73617.0
        0.120500 73154.60.121000 65517.50.121500 67440.20.122000 64221.7
        0.122500 57041.50.123000 56446.60.123500 46894.00.124000 48297.6
        0.124500 44283.90.125000 36301.30.125500 35698.80.126000 27293.5
        0.126500 28390.10.127000 25328.40.127500 19947.70.128000 19254.4
        0.128500 16686.20.129000 13210.10.129500 11421.40.130000  8667.8
        0.130500  6967.50.131000  4858.90.131500  3048.70.132000  1590.1
        0.132500   562.00.133000    43.20.651500     0.00.652000134518.9
        0.652500128140.50.653000136289.20.653500129099.40.654000124606.6
        0.654500127388.50.655000120128.70.655500114371.50.656000111129.7
        0.656500105668.90.657000 98148.10.657500 95089.00.658000 90909.0
        0.658500 82968.50.659000 82467.60.659500 73797.00.660000 75111.1
        0.660500 72790.90.661000 65241.90.661500 65975.10.662000 56971.3
        0.662500 58728.00.663000 55568.40.663500 47235.40.664000 47022.0
        0.664500 43528.20.665000 35933.50.665500 34544.10.666000 27139.7
        0.666500 27729.60.667000 24846.60.667500 19800.20.668000 18768.9
        0.668500 14568.40.669000 13827.20.669500 11393.40.670000  8668.6
        0.670500  6792.30.671000  4628.10.671500  2950.70.672000  1483.8
        0.672500   496.60.673000    25.70.741500     0.00.742000124996.1
        0.742500117424.60.743000125294.30.743500118400.10.744000113391.1
        0.744500118050.60.745000110860.20.745500106280.40.746000105191.2
        0.746500 99624.80.747000 94720.00.747500 92343.50.748000 89063.5
        0.748500 83090.50.749000 82424.80.749500 75233.70.750000 76968.7
        0.750500 74712.30.751000 68005.20.751500 68257.50.752000 59565.3
        0.752500 61084.80.753000 57573.60.753500 49137.80.754000 48446.1
        0.754500 38665.30.755000 39634.10.755500 36050.30.756000 28595.9
        0.756500 28100.00.757000 25190.00.757500 19969.20.758000 18640.6
        0.758500 14526.00.759000 13679.70.759500 11242.80.760000  8562.9
        0.760500  6690.10.761000  4556.60.761500  2907.60.762000  1455.3
        0.762500   483.80.763000    23.20.763500     0.00.764000     0.0
            ENDT
$******************************************************$
DAREA       1002       2       2     1.0
$******************************************************$
TLOAD1         3    1002                    1002
$******************************************************$
$******************************************************$
TABLED1     1003
        0.000000     0.00.021500     0.00.022000   -27.20.043000     0.0
        0.043500185840.10.044000190267.90.044500179580.20.045000180641.8
        0.045500164713.10.046000153574.80.046500149657.80.047000132654.9
        0.047500122766.50.048000114392.30.048500102791.20.049000 96494.4
        0.049500 85511.30.050000 80830.60.050500 74079.60.051000 69318.6
        0.051500 65385.90.052000 61673.30.052500 60426.80.053000 55081.5
        0.053500 53674.60.054000 48574.80.054500 48302.40.055000 46673.2
        0.055500 40614.20.056000 40000.60.056500 38641.60.057000 32420.3
        0.057500 31691.00.058000 26680.50.058500 26367.30.059000 24074.0
        0.059500 20115.10.060000 18288.10.060500 14929.80.061000 12962.8
        0.061500 10264.50.062000  7667.20.062500  5427.30.063000  3432.9
        0.063500  1836.20.064000   697.60.064500    98.60.133000     0.0
        0.133500186256.30.134000190872.30.134500180170.00.135000181558.7
        0.135500165363.00.136000154354.50.136500150507.50.137000133046.0
        0.137500123624.90.138000114709.50.138500103200.70.139000 96917.6
        0.139500 85494.10.140000 81308.00.140500 73842.10.141000 69571.8
        0.141500 65287.90.142000 61631.50.142500 60775.00.143000 54775.1
        0.143500 54217.90.144000 48480.70.144500 48567.50.145000 47141.8
        0.145500 40495.20.146000 40622.10.146500 38604.80.147000 32625.3
        0.147500 31989.50.148000 26489.60.148500 26655.20.149000 23924.9
